date,route,rate_usd_per_mt
2026-07-01,Australia-Paradip,18.20
2026-07-08,Australia-Paradip,18.55
2026-07-15,Australia-Paradip,19.10
2026-07-22,Australia-Paradip,18.90
2026-07-29,Australia-Paradip,19.40
2026-08-05,Australia-Paradip,19.80
2026-08-12,Australia-Paradip,20.15
2026-08-19,Australia-Paradip,20.60
2026-08-26,Australia-Paradip,20.40
2026-07-01,Indonesia-Vizag,14.10
2026-07-08,Indonesia-Vizag,14.30
2026-07-15,Indonesia-Vizag,14.20
2026-07-22,Indonesia-Vizag,14.55
2026-07-29,Indonesia-Vizag,14.70
2026-08-05,Indonesia-Vizag,14.90
2026-08-12,Indonesia-Vizag,15.10
2026-08-19,Indonesia-Vizag,15.05
2026-08-26,Indonesia-Vizag,15.30
2026-07-01,Russia-Haldia,22.00
2026-07-08,Russia-Haldia,21.80
2026-07-15,Russia-Haldia,21.50
2026-07-22,Russia-Haldia,21.20
2026-07-29,Russia-Haldia,20.90
2026-08-05,Russia-Haldia,20.60
2026-08-12,Russia-Haldia,20.30
2026-08-19,Russia-Haldia,20.10
2026-08-26,Russia-Haldia,19.85
